#  taken from Bertelli et al 1994, online via vizier
#  this is the log age = 6.6, Y=0.24, Z=0.004 model
#
#        mass        M_V         B-V
#
         0.6        7.92        1.08
         0.7        6.83        0.87
         0.8        5.98         0.7
         0.9        5.32        0.58
           1        4.74        0.47
         1.1        4.24         0.4
         1.2        3.74        0.33
         1.3         3.3        0.26
         1.4        2.95        0.18
         1.5        2.66         0.1
         1.6        2.44        0.05
         1.7        2.26        0.01
         1.8         2.1       -0.01
         1.9        1.98       -0.04
           2        1.85       -0.05
         2.1        1.73       -0.07
         2.2        1.63       -0.08
         2.3        1.52       -0.08
         2.4        1.41       -0.09
         2.5        1.31        -0.1
         2.7        1.13       -0.11
         2.9        0.96       -0.12
         3.1        0.81       -0.14
         3.3        0.68       -0.14
         3.5        0.55       -0.15
         3.7        0.42       -0.16
         3.9        0.29       -0.17
         4.1        0.17       -0.17
         4.3        0.07       -0.18
         4.5       -0.04       -0.18
         4.7       -0.14       -0.19
         4.9       -0.23       -0.19
         5.2       -0.37        -0.2
         5.5        -0.5        -0.2
         5.8       -0.63       -0.21
         6.1       -0.75       -0.21
         6.4       -0.86       -0.22
         6.7       -0.96       -0.22
           7       -1.08       -0.23
         7.4        -1.2       -0.23
         7.8       -1.32       -0.23
         8.2       -1.44       -0.24
         8.6       -1.57       -0.24
           9       -1.69       -0.25
         9.5       -1.81       -0.25
          10       -1.93       -0.26
        10.5       -2.05       -0.26
          11       -2.17       -0.26
        11.5        -2.3       -0.27
          12       -2.43       -0.27
        12.6       -2.55       -0.28
        13.2       -2.66       -0.28
        13.8       -2.78       -0.28
        14.4        -2.9       -0.29
          15       -3.03       -0.29
        15.8       -3.15       -0.29
        16.6       -3.27       -0.29
        17.4       -3.38       -0.29
        18.2        -3.5       -0.29
          19       -3.62        -0.3
        19.8       -3.75        -0.3
