     ,ra       ,dec       ,parallax  ,parallax_er ,pmra      ,pmdec     ,photo_g_mean_mag ,photo_bp_mean_mag ,photo_rb_mean_mag
   0 ,77.55501 ,          , 15.00126 ,            ,24.39437  ,-129.0834 ,       16.2374   ,        17.05365  ,14.99589
   1 ,68.45324 ,18.04914  , 15.00153 ,   0.033053 ,-114.7525 ,-87.04951 ,       14.91045  ,        16.38253  ,13.72766
   2 ,75.38225 ,14.99631  , 15.01392 ,   0.022072 ,-51.98516 ,-72.04522 ,       13.67605  ,        14.91214  ,12.57487
   3 ,58.81995 ,13.35507  , 15.02165 ,   0.030265 ,19.89994  ,-73.96614 ,       14.67295  ,        16.16299  ,13.48436
   4 ,58.05692 ,21.57847  , 15.02269 ,   0.026058 ,-69.03845 ,27.4107   ,       14.93495  ,        16.21615  ,13.81522
   5 ,63.93891 ,17.84523  , 15.02771 ,   0.035482 ,-5.212874 ,-87.58019 ,       15.3185   ,        16.95904  ,14.08666
   6 ,75.48127 ,22.6602   , 15.03097 ,   0.158562 ,71.38631  ,-60.3847  ,       18.04346  ,        18.25388  ,17.69185
   7 ,64.58423 ,11.35324  , 15.04215 ,   0.329289 ,189.0112  ,-85.63383 ,       19.12708  ,        21.29078  ,17.64522
   8 ,58.97021 ,21.93682  , 15.04776 ,   0.079266 ,-24.82332 ,2.4682    ,       16.96632  ,        19.00516  ,15.64455
   9 ,71.09312 ,24.08227  , 15.04821 ,   0.025831 ,42.25096  ,-69.47182 ,        8.074996 ,         8.359479 , 7.624311
  10 ,69.11625 ,11.73221  , 15.04962 ,   0.78462  ,124.0555  ,-96.17646 ,       20.45929  ,        21.58891  ,18.84838
  11 ,68.82181 ,21.77736  , 15.05159 ,   0.049436 ,51.27858  ,-20.97279 ,       15.70842  ,        17.42816  ,14.45219
  12 ,62.76922 , 8.539283 , 15.05268 ,   0.061529 ,35.63322  ,-46.63804 ,       11.32987  ,        11.97681  ,10.27234
  13 ,68.81888 ,10.8641   , 15.05423 ,   0.015856 ,-26.23956 ,12.42048  ,       13.42727  ,        14.60724  ,12.34789
  14 ,68.36598 ,25.93752  , 15.06594 ,   1.526119 ,-2.018074 ,0.884896  ,       20.0748   ,        21.06727  ,18.6185
  15 ,64.16701 , 7.847754 , 15.07146 ,   0.02963  ,79.10511  ,-13.15961 ,       14.45198  ,        15.69299  ,13.23074
  16 ,64.16765 , 7.847778 , 15.07498 ,   0.017825 ,79.58835  ,-12.69804 ,       12.93976  ,        14.01632  ,11.89836
  17 ,62.13537 ,10.95186  , 15.07859 ,   0.068231 ,-64.89318 ,-28.23376 ,       11.42696  ,        12.14537  ,10.48507
  18 ,63.62197 ,24.25247  , 15.0981  ,   0.040161 ,19.57138  ,41.18644  ,       15.67888  ,        17.32344  ,14.44482
  19 ,65.03277 ,11.53111  , 15.0989  ,   0.066401 ,146.3416  ,3.512841  ,       15.99884  ,        17.65535  ,14.75434
  20 ,65.66595 ,20.35282  , 15.09907 ,   0.068303 ,-44.09481 ,-155.8696 ,       16.27469  ,        18.07135  ,14.99475
  21 ,67.55148 ,13.01901  , 15.10372 ,   0.166357 ,58.72977  ,-10.29976 ,       17.89455  ,        20.57432  ,16.45887
  22 ,64.92331 ,10.14804  , 15.12345 ,   0.02772  ,109.0391  ,-124.491  ,       14.62235  ,        15.964    ,13.47747
  23 ,70.97647 ,24.10438  , 15.1253  ,   0.034794 ,26.84042  ,-85.70472 ,       15.2238   ,        16.76315  ,14.01879
  24 ,67.19713 , 8.099551 , 15.12799 ,   0.091812 ,64.69519  ,-46.73317 ,       14.0385   ,        15.49917  ,12.82988
  25 ,72.26648 ,19.46242  , 15.13605 ,   0.017161 ,54.40894  ,-121.4956 ,       10.42144  ,        10.97788  , 9.72019
  26 ,70.97923 ,24.12084  , 15.14169 ,   0.032135 ,26.8738   ,-86.42633 ,       15.15458  ,        16.66887  ,13.95736
  27 ,60.95342 ,18.61421  , 15.14573 ,   0.879293 ,6.843095  ,-12.71789 ,       19.08823  ,        20.22856  ,17.22516
  28 ,70.93196 ,17.75556  , 15.14998 ,   0.021186 ,2.073607  ,-74.05824 ,       11.77006  ,        12.61891  ,10.86483
  29 ,67.51755 ,17.79464  , 15.16078 ,   0.042069 ,10.72144  ,-35.58694 ,       12.6522   ,        13.67183  ,11.64519
  30 ,65.38791 ,10.32763  , 15.16212 ,   0.039522 ,214.8125  ,112.4531  ,       15.33936  ,        17.01874  ,14.08814
  31 ,67.24282 ,10.74761  , 15.17072 ,   0.081505 ,18.00037  ,75.19907  ,       16.91331  ,        16.9814   ,16.84286
  32 ,57.81033 ,14.6697   , 15.17543 ,   0.035644 ,243.3975  ,-145.8846 ,       15.25499  ,        16.86398  ,14.02567
  33 ,63.80594 ,19.39859  , 15.19383 ,   0.140193 ,-13.19182 ,-29.47248 ,       17.67818  ,        20.11042  ,16.28368
  34 ,75.1771  ,21.78073  , 15.19464 ,   0.014966 ,-33.78579 ,-114.1948 ,       13.44238  ,        14.60364  ,12.37185
  35 ,74.44379 ,16.47222  , 15.20955 ,   0.034757 ,57.75061  ,-20.1764  ,       14.42339  ,        16.02633  ,13.19391
  36 ,68.88896 ,13.42756  , 15.21059 ,   0.024263 ,60.92832  ,-14.4896  ,       14.5307   ,        16.02242  ,13.34274
  37 ,59.28843 ,16.19737  , 15.2118  ,   0.024739 ,134.5291  ,-112.1021 ,       14.53783  ,        15.96493  ,13.36596
  38 ,71.564   ,26.13117  , 15.21398 ,   0.020354 ,-40.11579 ,-48.83274 ,       13.8724   ,        15.18708  ,12.74019
  39 ,65.36124 , 9.789097 , 15.21939 ,   0.094485 ,19.8424   ,-37.58101 ,       17.22681  ,        19.41671  ,15.8703
  40 ,64.26278 ,12.12803  , 15.2249  ,   0.021174 ,-17.0585  ,11.40025  ,       13.73793  ,        14.87553  ,12.67408
  41 ,67.24509 ,14.58776  , 15.24798 ,   0.023078 ,-87.85229 ,-67.61391 ,       14.02118  ,        15.14827  ,12.74727
  42 ,75.92911 ,17.15363  , 15.25299 ,   0.017562 ,54.26986  ,-23.12059 ,       12.69504  ,        13.77217  ,11.66186
  43 ,66.08359 ,14.87345  , 15.25927 ,   0.061089 ,179.6887  ,-20.59709 ,       16.46207  ,        18.20969  ,15.20667
  44 ,75.31693 ,16.14459  , 15.26485 ,   0.044694 ,56.5875   ,-21.14626 ,       15.79831  ,        17.69168  ,14.4944
  45 ,69.04149 ,14.7863   , 15.27998 ,   0.298699 ,-50.96417 ,-103.586  ,       19.01805  ,        21.55564  ,17.50434
  46 ,70.54022 ,14.35696  , 15.28216 ,   0.244839 ,-136.3325 ,-117.1308 ,       18.87938  ,        19.44089  ,18.21567
  47 ,61.72196 ,24.96588  , 15.2919  ,   0.020238 ,58.4013   ,-9.007729 ,       13.46063  ,        14.69175  ,12.36171
  48 ,74.36221 ,16.4267   , 15.29546 ,   0.019749 ,-100.971  ,-72.62859 ,       10.93915  ,        11.53925  ,10.20141
  49 ,70.04288 ,12.17261  , 15.30142 ,   0.022633 ,35.08845  ,123.7234  ,       14.38392  ,        15.62549  ,13.28105
  50 ,72.78083 ,16.37974  , 15.30257 ,   0.056123 ,26.89703  ,-45.543   ,       14.85757  ,        16.27006  ,13.4419
  51 ,62.64104 ,20.86079  , 15.3032  ,   0.017136 ,88.60688  ,-27.49876 ,       12.36241  ,        13.36374  ,11.36779
  52 ,74.54814 ,15.37104  , 15.30544 ,   2.108644 ,4.04232   ,4.283908  ,       20.65544  ,        21.25361  ,19.27631
  53 ,64.58468 ,14.98293  , 15.30706 ,   0.03269  ,22.16925  ,-49.64705 ,       15.16006  ,        16.66771  ,13.96568
  54 ,73.02791 ,22.6695   , 15.31259 ,   0.020301 ,-20.43631 ,-84.0206  ,       13.87678  ,        15.15862  ,12.75872
  55 ,70.07293 ,12.13509  , 15.31374 ,   0.278597 ,40.64073  ,-13.46532 ,       15.30506  ,        17.0172   ,13.79915
  56 ,67.24447 ,14.58877  , 15.329   ,   0.015874 ,-86.17386 ,-73.28866 ,        9.700565 ,        10.15657  , 9.083036
  57 ,72.78048 ,16.38004  , 15.33468 ,   0.080706 ,22.88354  ,-45.65162 ,       15.16234  ,                  ,  
  58 ,68.99026 ,20.25116  , 15.33764 ,   0.026928 ,-59.63146 ,-39.82148 ,       14.426    ,        15.79666  ,13.27496
  59 ,72.19813 , 9.674298 , 15.3407  ,   0.01434  ,23.77593  ,-44.567   ,        9.522959 ,         9.944824 , 8.938117
  60 ,61.49134 ,10.96102  , 15.34117 ,   0.163019 ,62.85915  ,-1.514379 ,       17.82985  ,        20.26405  ,16.41338
  61 ,76.48669 ,19.27071  , 15.34145 ,   0.066165 ,19.13822  ,44.84186  ,       16.51104  ,        18.36762  ,15.2261
  62 ,66.19479 ,21.44235  , 15.34326 ,   0.579487 ,68.45789  ,-22.9647  ,       20.11121  ,        21.25165  ,18.53438
  63 ,66.46863 ,16.88738  , 15.34692 ,   0.111415 ,-16.02255 ,3.141717  ,       17.46247  ,        17.67372  ,17.13172
  64 ,76.07093 ,19.40233  , 15.35316 ,   0.232364 ,33.25371  ,-150.7894 ,       15.94969  ,        17.32001  ,14.07997
  65 ,74.7343  ,17.35497  , 15.35726 ,   0.047147 ,232.7358  ,-23.89755 ,       15.72951  ,        17.31205  ,14.51383
  66 ,63.17441 ,13.6187   , 15.36441 ,   0.041723 ,6.426083  ,-128.9232 ,       14.69893  ,        16.2763   ,13.47955
  67 ,70.75925 ,15.55472  , 15.37351 ,   0.123067 ,-92.95969 ,-64.94282 ,       17.70818  ,        20.01839  ,16.31908
  68 ,77.31607 ,19.57237  , 15.37566 ,   0.018053 ,52.826    ,-28.21473 ,       13.41308  ,        14.69888  ,12.29257
  69 ,61.42239 ,24.47152  , 15.38082 ,   0.017404 ,40.18486  ,-38.61533 ,        9.790895 ,        10.21407  , 9.199411
  70 ,76.12856 ,20.64257  , 15.38143 ,   0.019967 ,-13.38299 ,4.19402   ,       13.05751  ,        14.14442  ,12.0201
  71 ,76.62634 ,16.9539   , 15.3893  ,   0.016377 ,-9.728645 ,-143.2664 ,       10.5518   ,        11.12194  , 9.840207
  72 ,66.75298 ,19.11518  , 15.39153 ,   0.017619 ,98.75813  ,-130.38   ,        9.462355 ,         9.857518 , 8.897509
  73 ,75.92428 ,18.32203  , 15.39355 ,   0.021003 ,57.73139  ,-15.10249 ,       10.40843  ,        10.92192  , 9.741432
  74 ,62.42579 ,18.66801  , 15.39701 ,   0.044661 ,-40.94382 ,-126.6025 ,       13.84275  ,        15.33422  ,12.6502
  75 ,72.78208 ,16.38889  , 15.40305 ,   0.02506  ,26.86902  ,-46.00872 ,       14.3961   ,        15.85803  ,13.21593
  76 ,77.17166 ,14.7443   , 15.41603 ,   0.058471 ,52.64075  ,-16.84309 ,       16.28166  ,        18.19685  ,14.97322
  77 ,73.14836 ,23.54073  , 15.41604 ,   0.024318 ,48.21273  ,-71.94642 ,       14.6821   ,        16.00907  ,13.54776
  78 ,66.75303 ,19.11707  , 15.41831 ,   0.025125 ,93.29321  ,-130.5659 ,        7.775397 ,         8.029683 , 7.355567
  79 ,69.29838 ,12.71317  , 15.42236 ,   0.048485 ,168.485   ,-85.51815 ,       16.165    ,        18.06216  ,14.86455
  80 ,64.75124 ,21.36932  , 15.42256 ,   0.039979 ,-34.73964 ,-24.49022 ,       15.66311  ,        17.28789  ,14.43564
  81 ,71.50755 ,11.70555  , 15.42291 ,   0.089148 ,66.1579   ,-8.127767 ,        5.316419 ,         5.403276 , 5.157512
  82 ,66.53193 ,20.38336  , 15.42532 ,   0.027314 ,-25.6446  ,-9.119376 ,       14.79462  ,        16.26327  ,13.61084
  83 ,74.14933 ,23.29524  , 15.42722 ,   0.023486 ,77.49358  ,-104.2001 ,        7.402125 ,         7.643337 , 6.998673
